 creat.  mech.reas. abs.reas. Math.
 test       test      test    test

   09        12        09      20
   07        10        10      15
  08        12        09      26
   13        14        12      29
   10        15        12      32
   10        14        11      21
   09        12        09      25
   18        20        15      51
   10        17        13      31
   14        18        11      39 
   12        17        12      32 
   10        18        08      31 
   16        17        11      34 
   08        10        11      34 
   13        10        08      34 
   07        09        05      16 
   11        12        11      32 
   11        14        11      35 
   05        14        13      30 
   17        17        11      27 
   10        12        07      15 
   05        11        11      42 
   09        09        07      16 
   12        15        12      37 
   16        19        12      39 
   10        15        07      23 
   14        16        12      39 
   10        16        11      49 
   08        10        13      17 
   09        17        11      44 
   18        15        10      43 
   13        11        08      10 
   07        15        11      27 
   10        12        11      19 
   18        17        10      42 
   08        13        14      47 
   18        16        08      18 
   13        12        14      28 
   15        19        12      41 
   14        20        12      37 
   09        17        13      32 
   13        15        06      23 
   17        20        10      32 
   01        05        09      15 
   07        16        11      24 
   18        13        12      37 
   07        15        11      14 
   08        08        08      09 
   14        12        12      36 
   12        16        11      39 
