Root    trunk girth   ext. growth   trunk girth   weight ab. gro. 
stock    4 y. (mm)     4 y. (mm)     15y. (mm)     15y. (lb)

  1         111           2569          358            760
  1         119           2928          375            821
  1         109           2865          393            928
  1         125           3844          394           1009
  1         111           3027          360            766
  1         108           2336          351            726
  1         111           3211          398           1209
  1         116           3037          362            750
  2         105           2074          409           1036
  2         117           2885          406           1094
  2         111           3378          487           1635
  2         125           3906          498           1517
  2         117           2782          438           1197
  2         115           3018          465           1244
  2         117           3383          469           1495
  2         119           3447          440           1026
  3         107           2505          376            912
  3          99           2315          444           1398
  3         106           2667          438           1197
  3         102           2390          467           1613
  3         115           3021          448           1476
  3         120           3085          478           1571
  3         120           3308          457           1506
  3         117           3231          456           1458
  4         122           2838          389            944
  4         103           2351          405           1241
  4         114           3001          405           1023
  4         101           2439          392           1067
  4          99           2199          327            693
  4         111           3318          395           1085
  4         120           3601          427           1242
  4         108           3291          385           1017
  5          91           1532          404           1084
  5         115           2552          416           1151
  5         114           3083          479           1381
  5         105           2330          442           1242
  5          99           2079          347            673
  5         122           3366          441           1137
  5         105           2416          464           1455
  5         113           3100          457           1325
  6         111           2813          376            800
  6          75            840          314            606
  6         105           2199          375            790
  6         102           2132          399            853
  6         105           1949          334            610
  6         107           2251          321            562
  6         113           3064          363            707
  6         111           2469          395            952
