1.103 1.052 2.139 2.238 .873 .872  1.027 1.051 2.268 2.246 .869 .964
 .842  .859 1.873 1.741 .590 .744   .857  .817 1.718 1.710 .602 .689
 .925  .873 1.887 1.809 .767 .713   .875  .880 1.953 1.756 .765 .738
 .857  .744 1.739 1.547 .706 .674   .873  .698 1.668 1.443 .761 .698
 .795  .809 1.734 1.715 .549 .654   .811  .813 1.643 1.661 .551 .619
 .787  .779 1.509 1.474 .782 .571   .640  .734 1.396 1.378 .753 .515
 .933  .880 1.695 1.656 .737 .803   .947  .865 1.851 1.686 .708 .787
 .799  .851 1.740 1.777 .618 .682   .886  .806 1.742 1.815 .687 .715
 .945  .876 1.811 1.759 .853 .777   .991  .923 1.931 1.776 .844 .656
 .921  .906 1.954 2.009 .823 .765   .977  .925 1.933 2.106 .869 .789
 .792  .825 1.624 1.657 .686 .668   .825  .826 1.609 1.651 .654 .726
 .815  .751 2.204 1.846 .678 .546   .851  .765 2.352 1.980 .692 .526
 .755  .724 1.508 1.458 .662 .595   .770  .730 1.470 1.420 .670 .580
 .880  .866 1.786 1.811 .810 .819   .912  .875 1.846 1.809 .823 .773
 .900  .838 1.902 1.606 .723 .677   .905  .826 1.842 1.579 .746 .729
 .764  .757 1.743 1.794 .586 .541   .756  .727 1.747 1.860 .656 .506
 .733  .748 1.863 1.869 .672 .752   .765  .764 1.923 1.941 .693 .740
 .932  .898 2.028 2.032 .836 .805   .932  .914 2.190 1.997 .883 .785
 .856  .786 1.390 1.324 .578 .610   .843  .782 1.242 1.228 .577 .627
 .890  .950 2.187 2.087 .758 .718   .879  .906 2.164 1.999 .802 .769
 .688  .532 1.650 1.378 .533 .482   .673  .537 1.573 1.330 .540 .498
 .940  .850 2.334 2.225 .757 .731   .949  .900 2.130 2.159 .804 .779
 .493  .616 1.037 1.268 .546 .615   .463  .637 1.041 1.265 .570 .634
 .835  .752 1.509 1.422 .618 .664   .776  .743 1.442 1.411 .585 .640
